epoch,first_id,second_id
Ox6009001,307,1064
Ox6009101,308,1169
Ox6009201,309,1045
Ox6009301,310,940
Ox6009401,311,660
Ox6009501,312,840
Ox6009601,313,738
Ox6009801,314,1048
Ox6009901,315,956
Ox6010001,316,1067
Ox6010101,317,1115
Ox6010201,318,1070
Ox6010301,319,1022
Ox6010401,320,745
Ox6010501,321,831
Ox6010601,322,1078
Ox6010701,323,1170
Ox6011001,324,1058
Ox6011101,325,635
Ox6011201,326,648
Ox6011301,327,737
Ox6011401,328,686
Ox6101601,329,918
Ox6103301,330,1144
Ox6104301,331,789
Ox6104901,332,722
Ox6105601,333,758
Ox6105701,334,1047
Ox6106601,335,878
Ox6106901,336,1024
Ox6902101,337,978
P10015,338,759
P10026,339,890
P10031,340,774
P10048,341,1195
P10057,342,817
P10060,343,1180
P10073,344,1130
P10082,345,1156
P10099,346,1010
P10103,347,1138
P10111,348,1063
P10120,349,984
P10134,350,1126
P10142,351,861
P10156,352,1108
P10168,353,1004
P10179,354,777
P10187,355,868
P10195,356,641
P10202,357,727
P10216,358,1098
P10225,359,1096
P10237,360,1053
P10243,361,901
P10251,362,778
P10269,363,703
P10278,364,1182
P10284,365,708
P10290,366,897
P10307,367,951
Ox6001201,368,925
Ox6001401,369,1085
Ox6001501,370,1055
Ox6001701,371,603
Ox6001801,372,667
Ox6002001,373,816
Ox6002701,374,835
Ox6002801,375,1147
Ox6003001,376,1127
Ox6003101,377,693
Ox6003201,378,1150
Ox6003301,379,949
Ox6003801,380,705
Ox6005001,381,1074
Ox6005201,382,612
Ox6005301,383,917
Ox6005401,384,937
Ox6005801,385,656
Ox6005901,386,1037
Ox6007101,387,605
Ox6007201,388,792
Ox6008001,389,692
Ox6008101,390,1120
Ox6008201,391,768
Ox6008601,392,807
Ox6008701,393,1101
Ox6010801,394,882
Ox6010901,395,652
2510001_2,396,1104
2510201_2,397,762
2510301_2,398,1102
2510401_2,399,1091
2510501_2,400,860
2510601_2,401,805
2510701_2,402,976
2510901_2,403,875
2511001_2,404,879
2511101_2,405,1079
2511201_2,406,1005
2511301_2,407,786
2511401_2,408,728
2511601_2,409,1056
2511701_2,410,812
2511801_2,411,634
2511901_2,412,668
2512001_2,413,1199
2512101_2,414,994
2512201_2,415,998
2512301_2,416,1041
2512401_2,417,818
2512501_2,418,980
2512601_2,419,1084
2512701_2,420,658
2512801_2,421,919
251701,422,963
251801,423,857
251901,424,701
252001,425,992
252101,426,948
252601,427,935
252801,428,853
253101,429,985
253201,430,650
253501,431,742
254101_2,432,625
254401_2,433,716
254601_2,434,1086
254701_2,435,870
254801_2,436,961
254901_2,437,810
255001_2,438,735
255101_2,439,779
255201_2,440,844
255301_2,441,1072
255401_2,442,905
255501,443,1128
255601_2,444,671
255801_2,445,684
255901,446,770
256301_2,447,675
256401_2,448,787
256501_2,449,607
256701,450,1184
256801_2,451,649
257001_2,452,1025
257101_2,453,974
257201_2,454,990
257301_2,455,687
257501_2,456,1107
257601_2,457,756
257701_2,458,678
257801_2,459,1171
257901_2,460,632
258001_2,461,950
258101_2,462,1190
258201_2,463,989
258401_2,464,1140
258601_2,465,784
258701_2,466,751
258901_2,467,602
259001_2,468,1152
259101_2,469,773
259201_2,470,1194
259301_2,471,799
259401_2,472,1080
259501_2,473,715
259701_2,474,819
259801_2,475,1118
259901_2,476,1114
260201,477,902
260301_2,478,1029
260701_2,479,642
260801_2,480,695
261201_2,481,621
261401_2,482,848
261701_2,483,1073
