File,Epoch,Event,Coef,VarCoef
Ox6001201,1,bg,1.02063457868792,0.0235816719900759
Ox6001201,2,bg,0.370866364038433,0.00809535698603425
Ox6001201,3,cl,0.516343294369185,0.0097143947930194
Ox6001201,4,bg,0.206268701850985,0.0032089879107861
Ox6001201,5,hl,0.515664966740843,0.00348988930258087
Ox6001401,1,bg,-0.312827888324209,0.00955756347698705
Ox6001401,2,bg,0.512437965741863,0.00880890289279144
Ox6001401,3,cl,1.01600335915541,0.0266068460647104
Ox6001401,4,bg,-0.0795697161696197,0.00746638049739555
Ox6001401,5,hl,0.466293433974844,0.0049702036858283
Ox6001501,1,bg,0.68318702900253,0.0160946468904953
Ox6001501,2,bg,0.526724434645011,0.0267313501334248
Ox6001501,3,cl,0.577983350550412,0.0167265168325954
Ox6001501,4,bg,0.441513648907197,0.00811326424779895
Ox6001501,5,hl,0.750042788975449,0.0161838005331691
Ox6001701,1,bg,0.378236708649711,0.0133435580754818
Ox6001701,2,bg,0.616800326297926,0.00434568396993158
Ox6001701,3,cl,0.234946937314365,0.00266611399461269
Ox6001701,4,bg,0.0170125000721764,0.00192494526253413
Ox6001701,5,hl,1.46739648404805,0.00563431323779273
Ox6001801,1,bg,0.158566106815157,0.00480312102620433
Ox6001801,2,bg,0.568137688137357,0.00346321906814442
Ox6001801,3,cl,0.525259115563135,0.00564411694619248
Ox6001801,4,bg,0.4620703060846,0.00525512733358365
Ox6001801,5,hl,0.243901950210796,0.00380697076517319
Ox6002001,1,bg,-0.0240439178164269,0.000982403284609716
Ox6002001,2,bg,0.435284858912523,0.00442714068460014
Ox6002001,3,cl,0.354002854256243,0.00458340264385394
Ox6002001,4,bg,0.258499591589189,0.00362399610881052
Ox6002001,5,hl,4.21704480760247,0.040925438187317
Ox6002701,1,bg,0.275170496635076,0.00124712836204673
Ox6002701,2,bg,1.0123366479528,0.00661901528874324
Ox6002701,3,cl,0.725153193364775,0.00425203220107122
Ox6002701,4,bg,0.0491352305313767,0.00252521819451901
Ox6002701,5,hl,1.25036213167517,0.0203858599543281
Ox6002801,1,bg,0.787948653770387,0.0127511808472575
Ox6002801,2,bg,0.719715707612421,0.0338607253333343
Ox6002801,3,cl,-0.287489355063544,0.0200887981875588
Ox6002801,4,bg,0.512286408396347,0.0158721736638251
Ox6002801,5,hl,3.35003905340587,0.0328993608537304
Ox6003001,1,bg,1.04300327910712,0.013734439850463
Ox6003001,2,bg,0.199523769111583,0.0060468845070613
Ox6003001,3,cl,0.646637000515745,0.0210583665051751
Ox6003001,4,bg,1.39074868034615,0.0215111764900872
Ox6003001,5,hl,0.108524165560857,0.00411766683891706
Ox6003101,1,bg,0.21960654916964,0.0710945550958313
Ox6003101,2,bg,0.925229800395188,0.0306141867660657
Ox6003101,3,cl,0.675085033951894,0.0296549086514994
Ox6003101,4,bg,1.24111840699404,0.0803511689089753
Ox6003101,5,hl,1.48331507345888,0.0574520128824123
Ox6003201,1,bg,0.591486944331608,0.00758391238861438
Ox6003201,2,bg,0.32614836440849,0.00420887231837801
Ox6003201,3,cl,0.242662733555189,0.00358979171274327
Ox6003201,4,bg,0.341186016098586,0.00445870616575371
Ox6003201,5,hl,1.1764384322118,0.0139196499703242
Ox6003301,1,bg,0.325014855982158,0.00565482648261323
Ox6003301,2,bg,0.357868731036555,0.00640404109635018
Ox6003301,3,cl,0.15520470815898,0.00320799173691743
Ox6003301,4,bg,0.96842265872087,0.0102822754838242
Ox6003301,5,hl,0.737246318586413,0.00443603358119846
Ox6003801,1,bg,0.169770567712543,0.0166428379210318
Ox6003801,2,bg,0.275849455974945,0.023467537146859
Ox6003801,3,cl,0.549251491467923,0.0127311231814651
Ox6003801,4,bg,0.814139505448794,0.0312796309794703
Ox6003801,5,hl,0.369023875737042,0.0168237216457102
Ox6005001,1,bg,1.14454865410642,0.0357534985695564
Ox6005001,2,bg,0.331966832736803,0.00413472043703434
Ox6005001,3,cl,0.437279211854261,0.00637605614999217
Ox6005001,4,bg,0.174022231353769,0.00443420217512638
Ox6005001,5,hl,0.520117708608145,0.0167414809666295
Ox6005201,1,bg,0.0186891254337127,0.00244443354399944
Ox6005201,2,bg,1.39497029267717,0.024527305294166
Ox6005201,3,cl,0.811434318000768,0.00919501893429819
Ox6005201,4,bg,0.202725397915178,0.00406298160065956
Ox6005201,5,hl,0.617293331567727,0.0105751099391388
Ox6005301,1,bg,0.48770149306394,0.0119527444185502
Ox6005301,2,bg,0.108289700724968,0.0198924130872426
Ox6005301,3,cl,0.755527284048584,0.0132425086685341
Ox6005301,4,bg,0.492888240184536,0.0264007864550126
Ox6005301,5,hl,1.2464825488467,0.0221395961982632
Ox6005401,1,bg,0.0476392173569028,0.015178268103623
Ox6005401,2,bg,0.272374194022734,0.00901544374976095
Ox6005401,3,cl,0.209324187138565,0.00852087378920025
Ox6005401,4,bg,0.543725954621013,0.00349325864851566
Ox6005401,5,hl,0.351891768802438,0.00184721305255679
Ox6005801,1,bg,0.891163774054613,0.0442026303250073
Ox6005801,2,bg,0.0882356575190601,0.033071199161074
Ox6005801,3,cl,0.129052969023667,0.0548591466609014
Ox6005801,4,bg,-0.114055345063557,0.0311104370596223
Ox6005801,5,hl,0.81167456273074,0.0129162650620653
Ox6005901,1,bg,-0.103635055655583,0.0203197315314065
Ox6005901,2,bg,0.383659157070385,0.00545330082580051
Ox6005901,3,cl,0.491278164766281,0.004498274654147
Ox6005901,4,bg,0.166918610269162,0.00675798482956721
Ox6005901,5,hl,1.28854587575752,0.00973551660692817
Ox6007101,1,bg,0.220719869896656,0.00203767817153094
Ox6007101,2,bg,0.127171295226314,0.00704699090929818
Ox6007101,3,cl,0.405657927649699,0.0120185772685221
Ox6007101,4,bg,0.345989384073894,0.000926708698974909
Ox6007101,5,hl,0.795160261275398,0.0144650766612377
Ox6007201,1,bg,0.0713246048535089,0.000737428205231862
Ox6007201,2,bg,0.0710251561600853,0.00111091997360595
Ox6007201,3,cl,0.0997348702986629,0.00366222520422945
Ox6007201,4,bg,0.168778478589612,0.00341332452343804
Ox6007201,5,hl,0.353821317011519,0.00581442091657392
Ox6008001,1,bg,1.34133399225592,0.0175517461503345
Ox6008001,2,bg,0.144457867973956,0.00647726019144667
Ox6008001,3,cl,0.624077103462362,0.00583793139454527
Ox6008001,4,bg,0.280145647733068,0.00725535462580565
Ox6008001,5,hl,1.19230544474714,0.00574712726105566
Ox6008101,1,bg,0.5502971016886,0.0111511162611567
Ox6008101,2,bg,-0.0273369634843584,0.00217413163449183
Ox6008101,3,cl,1.75390201162797,0.0196787413876707
Ox6008101,4,bg,0.380714921214969,0.00459028351306722
Ox6008101,5,hl,1.10042095844311,0.00727869119494143
Ox6008201,1,bg,0.286868030197415,0.00345637958001607
Ox6008201,2,bg,0.24738580627267,0.00781522184285435
Ox6008201,3,cl,0.356201134015386,0.00975335212287369
Ox6008201,4,bg,0.128145035118277,0.00963271963410955
Ox6008201,5,hl,0.292958379945122,0.0044295125534926
Ox6008601,1,bg,0.511978237982441,0.0104731245647825
Ox6008601,2,bg,0.232378880862608,0.00637388102245732
Ox6008601,3,cl,0.395917825143048,0.00274632983713689
Ox6008601,4,bg,0.273850394339209,0.00439082562691709
Ox6008601,5,hl,0.57303557426178,0.00624248442200036
Ox6008701,1,bg,0.550966208429011,0.00702782503536921
Ox6008701,2,bg,1.52244331044186,0.0130414529397436
Ox6008701,3,cl,0.534596596327708,0.00502382008601051
Ox6008701,4,bg,0.0511425625617909,0.00938926672298451
Ox6008701,5,hl,0.229000522947177,0.00973610309096215
Ox6010801,1,bg,0.516411830184443,0.0313941251770036
Ox6010801,2,bg,0.411733193713842,0.00957279866320196
Ox6010801,3,cl,0.204002267993979,0.00593153926158566
Ox6010801,4,bg,0.535972245429546,0.0110720162200695
Ox6010801,5,hl,0.23006331143806,0.00876077203159874
